0,58564,430721
1,512,2265
2,55301,236864
3,9964,17200
4,768,1752
5,10403882,95893594
6,3384,5650
7,162,164
8,27180,372157
9,9944,28880
10,243,472
11,1,1
12,98644,335508
13,8896,51526
14,13570803,133704758
15,1,2
16,6219387,78957552
17,10804674,70962254
18,12324,41574
19,32805,94784
20,45903399,897237465
21,24576,455329
22,1,165
23,9423396,21509086
24,32,229
25,32,197
26,512,984
27,105543,1060183
28,6480,101264
29,2917215,12085690
30,80299,181563
31,5222243459,39954013326
32,1,1753
33,1736,18936
34,1,2266
35,9469,344977
36,1586,7236
37,8960,61736
38,1472985,9168475
39,243,29123
40,1024,42598
41,126,29249
42,1,29250
43,839808,6732952
44,2562250,5005216
45,32,42630
46,1250,52776
47,243,61979
48,81260,1142244
49,467552,938187
50,533360,5538576
51,3125,2211702
52,751680,2147660
53,230496,2442198
54,4525056,30421116
55,24240328,120133955
56,302653605,9524612046
57,66560000,549480204
58,32,430753
59,162,455491
60,81,455604
61,32,455523
62,76800000,649361877
63,243,455847
64,5184,461031
65,9604,470635
66,124416,1266692
67,1,938188
68,3888,942076
69,9604,951680
70,2960,954640
71,128744,1395948
72,32,1060215
73,768,1060983
74,1,1060984
75,9967023,60149239
76,32,1142276
77,962538,7695490
78,512,1267204
79,243,2148065
80,32,1395980
81,132950112,1435125052
82,162,2147822
83,60000,2208577
84,512,2148577
85,26709420,164767787
86,354568,5893144
87,449202640,4379716072
88,768,2442966
89,101571560,1536696693
90,172535818,843352966
91,8454489,38899720
92,764128445,3853080872
93,974390375,9220656839
94,16476673,196253599
95,1184028,23228106
96,803308,24031414
97,98352,21607438
98,436640,22044078
99,1006044,25104198
100,167003790,1149244203
101,1,24031415
102,768,24032183
103,32,24032215
104,243,24032458
105,5184,24037642
106,512,24038154
107,60000,24098154
108,7324219,46948839
109,32,25104230
110,5184,25109414
111,31562,25140976
112,8192,25149168
113,746892,25896060
114,53843600,361536434
115,512,30421628
116,23080,30444708
117,243,30444951
118,16,30444967
119,232,30445199
120,32,30445231
121,724900,39624620
122,68571648,432312268
123,2888134,50122216
124,1684,46950523
125,32,46950555
126,199927,47150482
127,83056,47233538
128,32,47233570
129,512,47234082
130,1022501833,18668100959
131,60000,50182216
132,4226292,83422117
133,5184,60154423
134,1250,60155673
135,32,60155705
136,1875,60157580
137,458752,71421006
138,124416,71913670
139,368248,71789254
140,178260,72272583
141,32,71913702
142,512,71914214
143,1024,71915238
144,1,71915239
145,98644,72013883
146,12268,72026151
147,67084,72093235
148,926,72094161
149,162,72094323
150,456656,72738165
151,1028,72273611
152,32,72273643
153,89,72273732
154,1,72273733
155,7776,72281509
156,51033318,307225352
157,49194640,255093311
158,3125,78960677
159,39366,79000043
160,1875,79001918
161,32,79001950
162,32,79001982
163,1,79001983
164,2401,79004384
165,24294,79028678
166,882,79029560
167,16,79029576
168,32,79029608
169,768,79030376
170,32,79030408
171,1124,79031532
172,164293,79195825
173,355455,83777572
174,1712124,85489712
175,16,83777588
176,765954280,5742411724
177,74271632,1258452257
178,1,95893595
179,32,95893627
180,3992602,137919695
181,60000,133772340
182,7582,133712340
183,153920,133927061
184,768,133773108
185,1,133773109
186,32,133773141
187,50607936,482920204
188,32,133927093
189,2247812,168418612
190,138672,138058367
191,649881814,6395965277
192,16,164767803
193,768,164768571
194,1296,164769867
195,81,164769948
196,5184,164775132
197,1146331,165921463
198,15665,165937128
199,228488,166165616
200,5184,166170800
201,7373736,175917980
202,125632,168544244
203,3773164,179760542
204,9398,175927378
205,60000,175987378
206,173257860,2276943792
207,16384,179776926
208,1571833,198025459
209,94612,196348211
210,105415,196453626
211,36366086,981686985
212,2217179,200242638
213,5184,200247822
214,512,200248334
215,512,200248846
216,1671813,201920659
217,2968185,204888844
218,1009827,205898671
219,346631272,1889127841
220,768,255094079
